Tissue	Gene	m	b
Normal	A1CF	0.08746883456035745	-0.7435230474487257
Normal	AADAT	1.2598355558624217	-2.721646038837051
Normal	AAGAB	0.005892197241043431	-0.07435465665124483
Normal	AAMP	0.007455911716344656	-0.36546368196646883
Normal	AAR2	-0.008739187249331535	-0.018250147486978705
Normal	AASS	0.04012790167030208	-0.6088014876945893
Normal	ABAT	0.03205394929890713	-0.7611326943665234
Normal	ABCB1	0.03806877161163831	-1.0800021815964318
Normal	ABCB6	6.845563878651861	-4.809288236836411
Normal	ABCC1	0.01326795910413914	-0.5359556464315802
Normal	ABCC3	0.051974167294861075	-1.0906158999026254
Normal	ABCC6	0.07042422257547622	-1.0547134254277986
Normal	ABCD1	0.09214530228319301	-0.5631602321721907
Normal	ABCD3	0.058618203521793304	-1.3427514617436853
Normal	ABCE1	0.018866528254135817	-0.2731841614060891
Normal	ABCG1	0.07126396139493409	-1.1961135143067694
Normal	ABHD10	0.03761275091794158	-0.6819481226191917
Normal	ABHD11	-0.016780816502589255	0.38320767554383683
Normal	ABHD15	0.2901748131610658	-1.6559576070885935
Normal	ABHD3	-0.060909508155178316	0.34939143766520664
Normal	ABI2	0.02593845032071015	-0.042916791099774025
Normal	ABLIM1	0.003799314302291116	0.19939934805005596
Normal	ABLIM3	0.07843956626416324	-1.021902803189429
Normal	ABO	0.1629999133002107	-0.7571064303275293
Normal	ABRACL	0.019866878263996912	-0.24033436399577987
Normal	ABTB2	0.008600057628828215	-0.0008074365181755458
Normal	ACAA1	0.03345847598371289	-0.6322804163290028
Normal	ACAD10	0.14433098507077632	-1.046004065285061
Normal	ACAD8	0.2108549873569204	-1.5888816274724227
Normal	ACADL	-0.0023443243274826014	0.009886561339071134
Normal	ACADM	0.029183691027249138	-0.8080995185056533
Normal	ACADSB	0.03064619824670151	-0.7642330580766912
Normal	ACAN	0.04526452420658917	-0.8573487960675541
Normal	ACAP1	0.8314431272990878	-0.7218618863475885
Normal	ACBD5	0.05594808277946391	-1.1141139524260493
Normal	ACE2	0.01162295937360257	-0.6448518076337487
Normal	ACO1	0.021563413559401463	-0.4412554507668297
Normal	ACOT11	0.06790698061624072	-0.34705804537883383
Normal	ACOT13	0.08492514293159777	-0.8990319103702569
Normal	ACOT2	0.06365291070526433	-0.7943105869055828
Normal	ACOT8	0.13345406162207946	-0.4689525906820368
Normal	ACOX1	0.042760442451832165	-1.2134739771123575
Normal	ACOX2	0.04957377228656884	-0.7050566320801799
Normal	ACP2	0.02563935819927971	-0.2193609978574324
Normal	ACP6	0.3391402655856746	-1.0015781178639034
Normal	ACSF2	0.02511282835439245	-0.9371469596886897
Normal	ACSF3	0.7976129367909108	-2.2007315457103487
Normal	ACSL4	0.016103526428440033	-0.1743437468403256
Normal	ACSL5	0.06500058391786184	-0.7828617622301698
Normal	ACSM2A	0.0170826774177433	-1.074441593336092
Normal	ACSM3	0.09866311794770896	-0.9874239382073381
Normal	ACSS1	0.04900597512717398	-0.46155408321715613
Normal	ACSS2	0.005379103866966905	-0.004233124628236321
