source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,Cancer
HP,HP:0002151,Increased serum lactate,0.0003190726531872142,True,Abnormally increased level of blood lactate (2-hydroxypropanoic acid). Lactate is produced from pyruvate by lactate dehydrogenase during normal metabolism. The terms lactate and lactic acid are often used interchangeably but lactate (the component measured in blood) is strictly a weak base whereas lactic acid is the corresponding acid. Lactic acidosis is often used clinically to describe elevated lactate but should be reserved for cases where there is a corresponding acidosis (pH below 7.35).,140,1113,43,9747,0.03863432165318958,0.30714285714285716,query_1,['HP:0001941'],"['DARS2', 'TIMM50', 'BCS1L', 'HTRA2', 'ACAD9', 'LRPPRC', 'ATAD3A', 'MT-ND4', 'NGLY1', 'PDHA1', 'HPDL', 'FARS2', 'NDUFV2', 'CLPB', 'TRMT10C', 'MT-CO1', 'DNM1L', 'MT-CO3', 'TARS2', 'PNPT1', 'TRMU', 'UQCC3', 'NDUFB9', 'MT-ND1', 'MT-CO2', 'PNPO', 'SYNJ1', 'ATPAF2', 'GFM1', 'WARS2', 'AIFM1', 'AGK', 'MT-ND2', 'HMGCL', 'PET100', 'NDUFS1', 'NDUFA11', 'TRMT5', 'MT-ND5', 'LONP1', 'MRPL3', 'PITRM1', 'PDHX']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
HP,HP:0001427,Mitochondrial inheritance,0.0010276450802346475,True,"A mode of inheritance that is observed for traits related to a gene encoded on the mitochondrial genome. Because the mitochondrial genome is essentially always maternally inherited, a mitochondrial condition can only be transmitted by females, although the condition can affect both sexes. The proportion of mutant mitochondria can vary (heteroplasmy).",13,1018,10,9747,0.009823182711198428,0.7692307692307693,query_1,['HP:0000005'],"['BCS1L', 'MT-ND4', 'MT-CO1', 'MT-CO3', 'TRMU', 'MT-ND1', 'MT-CO2', 'CHKB', 'MT-ND2', 'MT-ND5']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
CORUM,CORUM:6447,TIM23-TOM22-TIM50-HSD3B2 complex,0.001642216950223575,True,TIM23-TOM22-TIM50-HSD3B2 complex,3,17,2,9747,0.11764705882352941,0.6666666666666666,query_1,['CORUM:0000000'],"['TOMM22', 'TIMM50']","[['CORUM'], ['CORUM']]",HNSCC
HP,HP:0002490,Increased CSF lactate,0.0020680339959574905,True,Increased concentration of lactate in the cerebrospinal fluid.,73,1019,25,9747,0.02453385672227674,0.3424657534246575,query_1,['HP:0030085'],"['DARS2', 'TIMM50', 'HTRA2', 'LRPPRC', 'MT-ND4', 'PDHA1', 'HPDL', 'NDUFV2', 'TRMT10C', 'MT-CO1', 'MT-CO3', 'PNPT1', 'NDUFB9', 'NDUFB3', 'MT-ND1', 'MT-CO2', 'GFM1', 'SLC25A19', 'AIFM1', 'MT-ND2', 'PET100', 'NDUFS1', 'NDUFA11', 'MT-ND5', 'LONP1']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
HP,HP:0030085,Abnormal CSF lactate concentration,0.0020680339959574905,True,Abnormal concentration of lactate in the cerebrospinal fluid.,73,1019,25,9747,0.02453385672227674,0.3424657534246575,query_1,['HP:0025454'],"['DARS2', 'TIMM50', 'HTRA2', 'LRPPRC', 'MT-ND4', 'PDHA1', 'HPDL', 'NDUFV2', 'TRMT10C', 'MT-CO1', 'MT-CO3', 'PNPT1', 'NDUFB9', 'NDUFB3', 'MT-ND1', 'MT-CO2', 'GFM1', 'SLC25A19', 'AIFM1', 'MT-ND2', 'PET100', 'NDUFS1', 'NDUFA11', 'MT-ND5', 'LONP1']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
HP,HP:0001414,Microvesicular hepatic steatosis,0.002215163371706649,True,"A form of hepatic steatosis characterized by the presence of small, lipid-laden vesicles in the affected hepatocytes.",14,138,5,9747,0.036231884057971016,0.35714285714285715,query_1,['HP:0001397'],"['BCS1L', 'TFAM', 'ACAD9', 'LRPPRC', 'NGLY1']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
HP,HP:0010794,Impaired visuospatial constructive cognition,0.002334903057578454,True,"Reduced ability affecting mainly visuospatial cognition which may be tested using pattern construction (for example by Differential Ability Scales, which test a person's strengths and weaknesses across a range of intellectual abilities).",19,547,10,9747,0.018281535648994516,0.5263157894736842,query_1,['HP:0001328'],"['DARS2', 'SLC2A1', 'MT-ND4', 'PMPCA', 'HTT', 'MT-CO1', 'MT-CO3', 'PRKAR1B', 'MT-ND1', 'MT-CO2']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
HP,HP:0025454,Abnormal CSF metabolite concentration,0.0061365907977279505,True,Any deviation from the normal range of concentration of a metabolite in the cerebrospinal fluid.,96,1019,29,9747,0.02845927379784102,0.3020833333333333,query_1,"['HP:0001939', 'HP:0002921']","['DARS2', 'TIMM50', 'HTRA2', 'LRPPRC', 'SLC2A1', 'MT-ND4', 'NGLY1', 'PDHA1', 'HPDL', 'NDUFV2', 'TRMT10C', 'MT-CO1', 'MT-CO3', 'PNPT1', 'NDUFB9', 'NDUFB3', 'MT-ND1', 'MT-CO2', 'ALDH5A1', 'PNPO', 'GFM1', 'SLC25A19', 'AIFM1', 'MT-ND2', 'PET100', 'NDUFS1', 'NDUFA11', 'MT-ND5', 'LONP1']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
HP,HP:0003800,Muscle abnormality related to mitochondrial dysfunction,0.006828369597798815,True,Muscle abnormality related to mitochondrial dysfunction,56,1018,20,9747,0.019646365422396856,0.35714285714285715,query_1,['HP:0011804'],"['OPA1', 'LRPPRC', 'MT-ND4', 'FARS2', 'NDUFV2', 'MT-CO1', 'MT-CO3', 'PNPT1', 'TRMU', 'NDUFB9', 'NDUFB3', 'MT-ND1', 'MT-CO2', 'TYMP', 'AGK', 'MT-ND2', 'NDUFS1', 'NDUFA11', 'TRMT5', 'MT-ND5']","[['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP'], ['HP']]",HNSCC
CORUM,CORUM:5872,BRAF-MAP2K1-MAP2K2-YWHAE complex,0.018219873973489273,True,BRAF-MAP2K1-MAP2K2-YWHAE complex,4,1146,4,9747,0.0034904013961605585,1.0,query_1,['CORUM:0000000'],"['YWHAE', 'BRAF', 'MAP2K1', 'MAP2K2']","[['CORUM'], ['CORUM'], ['CORUM'], ['CORUM']]",HNSCC
