source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,Cancer
KEGG,KEGG:01200,Carbon metabolism,0.0003916649979541585,True,Carbon metabolism,110,2788,48,12487,0.01721664275466284,0.43636363636363634,query_1,['KEGG:00000'],"['AGXT', 'TALDO1', 'ESD', 'ACSS2', 'ME2', 'GPI', 'PFKP', 'CAT', 'GLYCTK', 'PGK1', 'G6PD', 'GAPDH', 'ENO2', 'MUT', 'ENO1', 'PCCA', 'ALDH6A1', 'IDH3B', 'ALDOC', 'ACOX1', 'HIBCH', 'PGAM1', 'ALDOB', 'GLUD1', 'GLUD2', 'AMT', 'ECHS1', 'SDS', 'SDSL', 'IDNK', 'TPI1', 'SDHC', 'SUCLG1', 'PKM', 'SDHB', 'PRPS1', 'HK3', 'GLDC', 'FH', 'CS', 'PSAT1', 'SUCLG2', 'GPT2', 'PC', 'FBP1', 'GOT1', 'DLST', 'TKFC']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",CCRCC
KEGG,KEGG:04142,Lysosome,0.025007310413829288,True,Lysosome,118,2176,39,12487,0.017922794117647058,0.3305084745762712,query_1,['KEGG:00000'],"['HEXA', 'CTSO', 'PLA2G15', 'GM2A', 'CTSS', 'GLB1', 'CTSZ', 'AP4S1', 'HGSNAT', 'AP3M1', 'PSAP', 'CTSF', 'FUCA1', 'GAA', 'NAGA', 'CTSV', 'GALNS', 'CTSW', 'HYAL2', 'CTSC', 'AP1S3', 'AGA', 'AP3B1', 'GUSB', 'ATP6V0A1', 'ATP6V1H', 'CTSG', 'NPC2', 'AP3D1', 'DNASE2', 'CTSD', 'CTSA', 'AP3S1', 'LAMP1', 'SGSH', 'SCARB2', 'ACP2', 'CTSB', 'GNPTAB']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",CCRCC
KEGG,KEGG:01200,Carbon metabolism,2.814709968768881e-06,True,Carbon metabolism,110,2218,46,12487,0.020739404869251576,0.41818181818181815,query_1,['KEGG:00000'],"['GOT1', 'TALDO1', 'GLYCTK', 'PKM', 'PGK1', 'IDNK', 'SDS', 'HK2', 'FH', 'ACOX3', 'HKDC1', 'ACAT2', 'ADPGK', 'SHMT2', 'GPT2', 'GCSH', 'ENO1', 'ACSS1', 'GAPDH', 'PGLS', 'MDH2', 'TKFC', 'ECHS1', 'CAT', 'PSAT1', 'SHMT1', 'PC', 'SDHA', 'HK3', 'MCEE', 'GLDC', 'ACADS', 'ALDOA', 'PFKL', 'HIBCH', 'AMT', 'IDH1', 'TKT', 'ME3', 'ALDH6A1', 'PFKP', 'RGN', 'ACSS2', 'IDH2', 'ME1', 'PFKM']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
KEGG,KEGG:00280,"Valine, leucine and isoleucine degradation",2.868779684563393e-06,True,"Valine, leucine and isoleucine degradation",48,2099,25,12487,0.011910433539780848,0.5208333333333334,query_1,['KEGG:00000'],"['ACAA2', 'EHHADH', 'HADHB', 'HSD17B10', 'ALDH3A2', 'ACADM', 'ACAT2', 'ACSF3', 'ECHS1', 'ACAD8', 'HIBADH', 'MCEE', 'ALDH2', 'BCAT2', 'ACADS', 'OXCT1', 'AACS', 'HMGCL', 'HIBCH', 'MCCC2', 'HMGCS1', 'ALDH6A1', 'BCAT1', 'IVD', 'IL4I1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
KEGG,KEGG:01230,Biosynthesis of amino acids,0.0006306264068941339,True,Biosynthesis of amino acids,72,2218,30,12487,0.013525698827772768,0.4166666666666667,query_1,['KEGG:00000'],"['GOT1', 'TALDO1', 'MTR', 'PKM', 'PGK1', 'ASNS', 'SDS', 'GLUL', 'ALDH18A1', 'ASS1', 'PYCR1', 'SHMT2', 'GPT2', 'CBS', 'ENO1', 'GAPDH', 'PSAT1', 'CTH', 'SHMT1', 'PC', 'BCAT2', 'ALDOA', 'ARG2', 'PFKL', 'IDH1', 'TKT', 'BCAT1', 'PFKP', 'IDH2', 'PFKM']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
KEGG,KEGG:00520,Amino sugar and nucleotide sugar metabolism,0.0007937249001907495,True,Amino sugar and nucleotide sugar metabolism,43,2208,22,12487,0.009963768115942028,0.5116279069767442,query_1,['KEGG:00000'],"['FPGT', 'CYB5R4', 'UXS1', 'NPL', 'HK2', 'GNE', 'CMAS', 'PGM3', 'HKDC1', 'UAP1', 'GNPNAT1', 'HK3', 'NANS', 'GFPT1', 'PMM1', 'CYB5R1', 'GALT', 'RENBP', 'GALE', 'GMPPB', 'GMDS', 'UGDH']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
KEGG,KEGG:01100,Metabolic pathways,0.0009679728406288089,True,Metabolic pathways,1237,2151,318,12487,0.14783821478382148,0.2570735650767987,query_1,['KEGG:00000'],"['GOT1', 'TALDO1', 'IMPDH2', 'MTHFD1L', 'UPRT', 'EXTL3', 'FPGT', 'GALNT11', 'MTHFD2', 'EXT1', 'GLYCTK', 'ACAA2', 'ENTPD2', 'ALDH3A1', 'NSD3', 'CAD', 'CHAC2', 'GSTP1', 'TYMS', 'RFK', 'EHHADH', 'IMPDH1', 'ATP6V1F', 'B4GALT3', 'MTR', 'MTM1', 'UXS1', 'PKM', 'SMYD2', 'RRM2', 'PGK1', 'IDNK', 'B3GAT3', 'AKR1A1', 'CBR1', 'ALG13', 'DUT', 'HADHB', 'GPX7', 'NPL', 'GK', 'PRDX6', 'GALNT12', 'HSD17B10', 'PTGS2', 'XDH', 'ASNS', 'SDS', 'SIRT3', 'PLD3', 'GGT1', 'CYC1', 'HK2', 'NAPRT', 'ENTPD5', 'FH', 'PDE5A', 'PDE8A', 'PIP4K2C', 'LPCAT2', 'GLUL', 'UCK2', 'GNE', 'SETD2', 'GCLM', 'CKMT2', 'CMAS', 'APRT', 'DHRS4', 'LDHA', 'ELOVL5', 'MECR', 'ALDH3A2', 'THTPA', 'PTS', 'DHCR24', 'CYP2S1', 'NDUFA7', 'ACOX3', 'PLA2G6', 'PGM3', 'GALNT14', 'ENPP4', 'DCTD', 'ALDH18A1', 'FOLH1', 'NME1', 'HKDC1', 'MINPP1', 'ACADM', 'GALNT3', 'ALDH3B1', 'PIK3CB', 'PRODH', 'PPOX', 'MGLL', 'DGKH', 'NME3', 'RRM1', 'GYS1', 'ACAT2', 'UAP1', 'GMPS', 'NIT2', 'LPCAT1', 'NQO1', 'ETHE1', 'GALNS', 'ASS1', 'PYCR1', 'ACSF3', 'UPP1', 'MOGS', 'LPIN2', 'ADPGK', 'SHMT2', 'SUOX', 'GPT2', 'CBS', 'NSD2', 'AGPAT1', 'CYP2J2', 'PAFAH2', 'PDXK', 'PIP4K2B', 'PIGT', 'GALNT10', 'KMT2C', 'COX8A', 'NTPCR', 'GCSH', 'ENO1', 'ACSS1', 'TK1', 'HYKK', 'GAPDH', 'TK2', 'LPIN1', 'RRM2B', 'UQCRQ', 'INPP5F', 'PGLS', 'MDH2', 'GPHN', 'MAN2A1', 'TKFC', 'ECHS1', 'PRUNE1', 'CAT', 'DNMT1', 'PSAT1', 'ACAD8', 'SCD', 'CMPK1', 'SQLE', 'OAT', 'GNPNAT1', 'MVK', 'HIBADH', 'AGMAT', 'GPX2', 'CTH', 'UQCRC1', 'KYNU', 'SHMT1', 'FADS2', 'SIRT2', 'NUDT9', 'ACOT8', 'IDI1', 'PC', 'SDHA', 'MVD', 'HK3', 'AK2', 'ACP5', 'CEL', 'AHCYL1', 'MCEE', 'NDUFA3', 'CHKA', 'EARS2', 'ALG2', 'NANS', 'ALOX15', 'GLDC', 'GUSB', 'MTMR6', 'SIRT1', 'ALDH2', 'QPRT', 'GSTA1', 'PLOD2', 'BCAT2', 'ACADS', 'XYLB', 'SEPSECS', 'PLA2G4A', 'HPRT1', 'GFPT1', 'BPNT1', 'AOC1', 'DGKA', 'ALDH4A1', 'HSD17B4', 'OXCT1', 'AACS', 'SPR', 'DCK', 'DTYMK', 'RDH10', 'PMM1', 'PFKFB3', 'GALNT6', 'ACP2', 'PIKFYVE', 'ALDOA', 'GALM', 'MCAT', 'FDFT1', 'CARNMT1', 'NUDT12', 'PLCG1', 'ST6GAL1', 'NNMT', 'GGPS1', 'ALPP', 'ATP6V1C2', 'GGT7', 'ARG2', 'CTPS1', 'ACSL1', 'GDA', 'ALPL', 'GATM', 'CHPF2', 'HMGCL', 'PFKL', 'GALT', 'HSD17B7', 'PFKFB2', 'DNMT3A', 'RENBP', 'TST', 'MLYCD', 'SETMAR', 'PLCH1', 'HMGCR', 'HIBCH', 'GART', 'ACSS3', 'GANAB', 'ADSS', 'SARDH', 'B4GALT4', 'HGD', 'GCNT1', 'ENPP1', 'NOS3', 'AMT', 'CKB', 'IDH1', 'PPAT', 'GALNT7', 'ALDH5A1', 'ASPA', 'FDPS', 'ITPKB', 'TKT', 'PGM2L1', 'ACSL4', 'LAP3', 'SETDB1', 'MCCC2', 'HMGCS1', 'LDHD', 'ME3', 'ALDH6A1', 'SMPD3', 'FASN', 'GLS', 'POMGNT2', 'ST6GALNAC1', 'BCAT1', 'IVD', 'DHFR', 'GSTK1', 'ACACA', 'MTHFD1', 'INPP5D', 'ACSM3', 'GALE', 'CRYL1', 'PLPP2', 'AK4', 'PFKP', 'GMPPB', 'IDO1', 'CHDH', 'TBXAS1', 'ADA', 'ANPEP', 'AASS', 'GMDS', 'ALPG', 'DHRS3', 'EPHX2', 'IL4I1', 'ASRGL1', 'BDH1', 'ALDH1A1', 'ADH1C', 'RGN', 'ACSS2', 'CA8', 'GGCT', 'IDH2', 'PLCB1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
KEGG,KEGG:00240,Pyrimidine metabolism,0.0020616734251445827,True,Pyrimidine metabolism,51,1074,16,12487,0.0148975791433892,0.3137254901960784,query_1,['KEGG:00000'],"['UPRT', 'CAD', 'TYMS', 'RRM2', 'DUT', 'ENTPD5', 'UCK2', 'DCTD', 'NME1', 'NME3', 'RRM1', 'UPP1', 'TK1', 'TK2', 'RRM2B', 'CMPK1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
KEGG,KEGG:00250,"Alanine, aspartate and glutamate metabolism",0.004471884623648558,True,"Alanine, aspartate and glutamate metabolism",31,2100,17,12487,0.008095238095238095,0.5483870967741935,query_1,['KEGG:00000'],"['GOT1', 'CAD', 'ASNS', 'GLUL', 'FOLH1', 'NIT2', 'ASS1', 'GPT2', 'GFPT1', 'ALDH4A1', 'ADSS', 'PPAT', 'ALDH5A1', 'ASPA', 'GLS', 'IL4I1', 'ASRGL1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
KEGG,KEGG:04146,Peroxisome,0.0074115693107364095,True,Peroxisome,78,2178,29,12487,0.013314967860422406,0.3717948717948718,query_1,['KEGG:00000'],"['EHHADH', 'PRDX1', 'ECH1', 'XDH', 'SLC27A2', 'DHRS4', 'ACOX3', 'ECI2', 'PEX13', 'PECR', 'CAT', 'MVK', 'ACOT8', 'MPV17', 'CROT', 'HSD17B4', 'DECR2', 'PRDX5', 'NUDT12', 'PEX1', 'ACSL1', 'HMGCL', 'MLYCD', 'IDH1', 'ACSL4', 'GSTK1', 'EPHX2', 'IDH2', 'CRAT']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]",Endometrial
