source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
KEGG,KEGG:03030,DNA replication,2.553518019676227e-08,True,DNA replication,35,1632,21,12487,0.012867647058823529,0.6,query_1,['KEGG:00000'],"['PCNA', 'FEN1', 'RFC1', 'PRIM1', 'POLA2', 'MCM3', 'MCM7', 'RFC5', 'MCM5', 'MCM4', 'MCM6', 'MCM2', 'POLA1', 'SSBP1', 'LIG1', 'POLD3', 'POLD2', 'RFC3', 'RNASEH1', 'RFC4', 'POLD1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:01200,Carbon metabolism,2.94920380641157e-06,True,Carbon metabolism,110,3794,64,12487,0.01686874011597259,0.5818181818181818,query_1,['KEGG:00000'],"['TALDO1', 'PGK1', 'GCSH', 'RPIA', 'ACSS1', 'MDH2', 'SHMT2', 'CPS1', 'PGAM1', 'PSPH', 'ACOX3', 'PGLS', 'TKFC', 'HK2', 'GPI', 'ENO1', 'SDS', 'GOT1', 'SDHA', 'GPT2', 'ALDOC', 'PFKP', 'TPI1', 'PFKL', 'H6PD', 'PSAT1', 'PKM', 'SHMT1', 'IDNK', 'GAPDH', 'HK1', 'ALDOA', 'ESD', 'ENO3', 'GLDC', 'ACSS2', 'DLST', 'TKT', 'HK3', 'ME3', 'GLUD1', 'PC', 'FH', 'G6PD', 'ME1', 'ECHS1', 'SUCLA2', 'PFKM', 'HIBCH', 'ACADS', 'ALDH6A1', 'PHGDH', 'ACAT1', 'PDHB', 'MUT', 'IDH2', 'AMT', 'PCCA', 'CAT', 'RGN', 'CS', 'SUCLG1', 'PDHA1', 'FBP1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:03430,Mismatch repair,1.382307670841284e-05,True,Mismatch repair,21,1632,14,12487,0.00857843137254902,0.6666666666666666,query_1,['KEGG:00000'],"['PCNA', 'PMS2', 'RFC1', 'RFC5', 'MSH3', 'MSH6', 'SSBP1', 'LIG1', 'POLD3', 'POLD2', 'RFC3', 'MSH2', 'RFC4', 'POLD1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:00240,Pyrimidine metabolism,9.805259946931882e-05,True,Pyrimidine metabolism,51,3535,34,12487,0.009618104667609617,0.6666666666666666,query_1,['KEGG:00000'],"['TYMS', 'CAD', 'RRM1', 'ENTPD5', 'TK1', 'UPRT', 'DTYMK', 'TK2', 'UCK2', 'RRM2', 'DCTPP1', 'DUT', 'UMPS', 'CTPS1', 'CMPK1', 'NME3', 'NME1', 'DPYD', 'DHODH', 'CANT1', 'UPP1', 'NT5C2', 'CTPS2', 'DCTD', 'NT5E', 'RRM2B', 'NME7', 'PNP', 'ENPP1', 'ENTPD1', 'CMPK2', 'NT5C1A', 'TYMP', 'DCK']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:00280,"Valine, leucine and isoleucine degradation",0.0007317367713556126,True,"Valine, leucine and isoleucine degradation",48,3842,30,12487,0.007808433107756377,0.625,query_1,['KEGG:00000'],"['EHHADH', 'OXCT1', 'ACSF3', 'IL4I1', 'ALDH3A2', 'ACAA2', 'BCAT1', 'ACADM', 'ACAD8', 'HSD17B10', 'HADHB', 'HMGCS1', 'HMGCL', 'ALDH7A1', 'ALDH2', 'ECHS1', 'HIBCH', 'ACADS', 'ALDH6A1', 'HIBADH', 'ACAT1', 'DBT', 'BCKDHB', 'MUT', 'MCCC1', 'IVD', 'PCCA', 'ACADSB', 'AOX1', 'ABAT']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04110,Cell cycle,0.0010308516790336034,True,Cell cycle,103,721,21,12487,0.02912621359223301,0.20388349514563106,query_1,['KEGG:00000'],"['CHEK1', 'PCNA', 'TP53', 'CHEK2', 'CCNA2', 'MAD2L1', 'CDK1', 'YWHAG', 'CCNB1', 'EP300', 'PLK1', 'TFDP1', 'MCM3', 'MCM7', 'CDK2', 'MCM5', 'BUB1B', 'MCM4', 'MCM6', 'YWHAE', 'MCM2']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:01240,Biosynthesis of cofactors,0.0010996898996399704,True,Biosynthesis of cofactors,133,3840,74,12487,0.019270833333333334,0.556390977443609,query_1,['KEGG:00000'],"['FLAD1', 'CAD', 'MTHFD1L', 'NADK2', 'CPOX', 'SHMT2', 'GCLC', 'RFK', 'HMBS', 'GCLM', 'UGDH', 'HAAO', 'UMPS', 'UROD', 'UGT1A6', 'GPHN', 'DHFR', 'PTS', 'CTPS1', 'CMPK1', 'MTHFD2', 'NME3', 'PDXK', 'NME1', 'EARS2', 'RDH13', 'NAPRT', 'AK6', 'MAT2B', 'DHODH', 'FPGS', 'GUSB', 'SDR16C5', 'OXSM', 'ADSL', 'AK3', 'PSAT1', 'PKM', 'KYNU', 'SHMT1', 'MTHFD1', 'IDO1', 'ADSS', 'NQO1', 'CTPS2', 'NMNAT3', 'ALDH3A2', 'NMNAT1', 'PANK2', 'TPK1', 'ALPL', 'DHRS3', 'QPRT', 'BCAT1', 'SPR', 'GGH', 'AK4', 'GMPPB', 'NME7', 'GCH1', 'NFS1', 'ALDH2', 'NADSYN1', 'CMPK2', 'COQ5', 'PMM1', 'AK2', 'COQ3', 'FECH', 'ALAD', 'COQ6', 'RGN', 'MPI', 'AK1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:01230,Biosynthesis of amino acids,0.007994228796594746,True,Biosynthesis of amino acids,72,3764,39,12487,0.010361317747077577,0.5416666666666666,query_1,['KEGG:00000'],"['TALDO1', 'PGK1', 'RPIA', 'SHMT2', 'CPS1', 'PGAM1', 'PSPH', 'CTH', 'ASNS', 'PYCR1', 'PYCR2', 'ENO1', 'SDS', 'ARG2', 'ASL', 'GOT1', 'GPT2', 'ALDOC', 'MAT2B', 'PFKP', 'TPI1', 'PFKL', 'PSAT1', 'PKM', 'ALDH18A1', 'SHMT1', 'GAPDH', 'ALDOA', 'ENO3', 'BCAT1', 'ACY1', 'TKT', 'PC', 'ASS1', 'PFKM', 'ARG1', 'PHGDH', 'IDH2', 'CS']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:03410,Base excision repair,0.009076788099443714,True,Base excision repair,29,2828,18,12487,0.006364922206506365,0.6206896551724138,query_1,['KEGG:00000'],"['PCNA', 'POLB', 'FEN1', 'UNG', 'TDG', 'MPG', 'LIG1', 'POLD3', 'POLD2', 'POLD1', 'LIG3', 'MBD4', 'NEIL2', 'APEX1', 'POLE3', 'POLE4', 'PARP1', 'XRCC1']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:00970,Aminoacyl-tRNA biosynthesis,0.014956715597554092,True,Aminoacyl-tRNA biosynthesis,28,1685,16,12487,0.009495548961424332,0.5714285714285714,query_1,['KEGG:00000'],"['SARS2', 'DARS2', 'TARS2', 'SEPSECS', 'IARS2', 'HARS2', 'YARS2', 'WARS2', 'NARS2', 'PARS2', 'AARS2', 'MARS2', 'VARS', 'EARS2', 'WARS', 'LARS2']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
