Tissue	Gene	m	b
Normal	AACS	0.3104117532527301	-3.5380861542669058
Normal	AAGAB	41.23413281915703	-426.0422660364917
Normal	AAK1	-0.0499205988716995	0.9205416348717362
Normal	AARS	-0.3122377779322539	3.781844944885332
Normal	AARS2	-11.584662389174143	122.30410864025957
Normal	AARSD1	-4.59585712260492	44.25179441259765
Normal	AASS	0.7322120155321601	-8.273060488959185
Normal	ABCC4	0.04702200516320465	-0.8776597339131683
Normal	ABCF2	-0.10851512474893321	1.0863755733638312
Normal	ABCG1	0.1535648509337295	-2.359977765126841
Normal	ABHD11	2.220953078863141	-21.053815275529054
Normal	ABHD14B	1.9426073970862454	-19.92812977254101
Normal	ABHD17B	-2.3542520487954217	22.58384835809151
Normal	ABHD6	1.3034060742463613	-11.476844765082182
Normal	ABI2	-7.193496000923945	89.35625051033436
Normal	ABI3BP	0.03859340814357324	2.1405258225278962
Normal	ACAA2	-2.756372909190788	28.83554779297154
Normal	ACACA	0.447583432198901	-5.779453142303047
Normal	ACAD10	-0.17494437101369092	1.185573819793079
Normal	ACAD8	-10.114847696987704	95.24186140225027
Normal	ACAD9	-4.45567688323021	46.778464235765504
Normal	ACADM	-3.4871327400352374	36.51193446968683
Normal	ACADS	0.06842489954103778	-0.708089196883903
Normal	ACAT2	0.0006443113219178991	0.11233495330833693
Normal	ACBD3	-0.2734069549191713	2.755612903289448
Normal	ACBD6	45.9046605692902	-476.9517555135001
Normal	ACBD7	53.83549752842465	-519.1572018109945
Normal	ACOT11	-2.886302995959518	26.817305830517704
Normal	ACOT7	0.2607181413514828	-2.363778499574808
Normal	ACOT8	108.5411120448887	-900.310440044826
Normal	ACOX3	-4.574654220488351	43.20435781073233
Normal	ACP2	0.0605104807352296	-1.0059051209341576
Normal	ACP5	0.06720017101131182	-0.5619456341170822
Normal	ACPP	0.10390921032186187	-0.9957326904143684
Normal	ACSF2	2.2345552809673883	-19.989210271389428
Normal	ACSF3	-2.2867818639158246	21.258883067502225
Normal	ACSL1	0.08343495353341722	-0.9088110402489836
Normal	ACSL4	0.2122117529314272	-2.902771079974635
Normal	ACSM3	0.17524383199361604	-1.8206821304432235
Normal	ACSS1	0.22170648829773593	-2.2958925119736215
Normal	ACSS3	0.3968690579464927	-3.9763651355996403
Normal	ADA	0.4059500995960647	-2.798643560755283
Normal	ADAM28	0.09199940765612771	-1.3265504941639752
Normal	ADAT2	-0.4693652281698835	3.969951548476193
