Tissue	Gene	m	b
Normal	A1CF	0.0735304215333149	-0.5669139115843292
Normal	AADAT	0.6679099071484198	-1.5590345901331988
Normal	AAGAB	0.012378878060092394	-0.15484870362531383
Normal	AAMP	0.006252810113421602	-0.4033824408776509
Normal	AAR2	0.016714419775488126	-0.2325321135292501
Normal	AASS	0.026897096393112753	-0.3596961915884875
Normal	ABAT	0.01779157235495228	-0.5527970524474659
Normal	ABCB1	0.03156278684679188	-0.9201336951078078
Normal	ABCB6	0.11062485275515452	-1.3734447330329036
Normal	ABCC1	0.009643938341827115	-0.574634430944241
Normal	ABCC3	0.037903463334774415	-1.137280312748734
Normal	ABCC6	0.04645933467255554	-0.7224561380026041
Normal	ABCD1	0.38432131035399697	-1.2628316965117747
Normal	ABCD3	0.022209491011162947	-0.738828421384342
Normal	ABCE1	0.015435669583426525	-0.2760608572269719
Normal	ABHD10	0.033087371279837324	-0.5654269083145999
Normal	ABHD11	-0.009409489205535498	0.4576143770937242
Normal	ABHD15	0.23801958890355984	-1.4173372130640447
Normal	ABHD3	-0.014611036463301794	0.252944705396222
Normal	ABI2	0.04202123250146682	-0.015633303663580247
Normal	ABLIM1	0.01088487970266795	-0.0591959793030218
Normal	ABLIM3	0.07235212131314182	-1.1942146719901134
Normal	ABO	0.1380384227291234	-0.8470235289647324
Normal	ABRACL	0.022012791103697242	-0.16407121241729603
Normal	ABTB2	0.014007649668972506	-0.018761320881626468
Normal	ACAA1	0.009929815805265791	-0.37987512489631814
Normal	ACAD8	0.05187611166431149	-0.8217558275230125
Normal	ACADL	0.08668677929273488	-1.6167533182750262
Normal	ACADM	0.014603227999927396	-0.5412598327498913
Normal	ACADSB	0.024697954203661037	-0.48092254642294047
Normal	ACAN	0.03750324426274247	-0.8447507900462192
Normal	ACAP1	0.2404635000290635	-1.1395264752145204
Normal	ACBD5	0.051621996276038466	-0.9831694966064467
Normal	ACE2	0.008684647070927493	-0.5055153854342649
Normal	ACO1	0.019790108572672684	-0.28043637251896086
Normal	ACOT11	0.06311609255458556	-0.22058282211213112
Normal	ACOT13	0.07289914753329843	-0.7859269971234637
Normal	ACOT2	0.0479341992161365	-0.5420112127090444
Normal	ACOT8	0.04762578497916645	-0.5133709472619352
Normal	ACOX1	0.021054414103499175	-0.5734061688813208
Normal	ACOX2	0.02598844192501292	-0.38695676250922145
Normal	ACP2	0.013135631300960278	-0.02368747815155938
Normal	ACP6	0.37655615690427174	-1.3428791624498144
Normal	ACSF2	0.009538099135054939	-0.6178904519351954
Normal	ACSF3	0.18405701900232918	-0.8492184849657763
Normal	ACSL4	0.01489523173054704	-0.11583346577113086
Normal	ACSL5	0.07151337955668334	-0.8981493583433471
Normal	ACSM2A	0.007943101671760726	-0.8266698667494251
Normal	ACSM3	0.05083153525290193	-0.9122404516569129
Normal	ACSS1	0.042157358565808586	-0.5035065507257515
Normal	ACSS2	0.001921194906890197	0.15061178169188288
Normal	ACSS3	0.09125762632174834	-0.5720169937223277
Normal	ACTL6A	0.04676339899497993	-0.5801441782823943
Normal	ACYP2	0.3383170260030699	-1.1063178856421203
Normal	ADA	0.3154703628240418	-1.3812765322572922
Normal	ADAMTS1	0.006732053682230841	-0.22480723298508207
Normal	ADAMTS7	137.3113025354618	-63.395058204246055
Normal	ADAMTSL4	0.09463851073238606	-0.34619539020433715
Normal	ADARB1	0.11272622619256789	-0.415778857347958
Normal	ADCY3	-0.2388901281977153	0.7274903222914285
Normal	ADD2	-90.00471955521057	3.533440723793659
Normal	ADD3	0.012813520950031824	-0.3551710627327357
Normal	ADH1C	0.08206940980305762	0.22799364697825578
Normal	ADH4	4.9671363293784925	-3.3641867875249196
Normal	ADH6	0.054310149788214745	-0.3575905230261768
Normal	ADHFE1	0.07560258375018473	-0.734266339005415
Normal	ADIRF	0.0088504023603671	-0.968323292789737
Normal	ADPGK	0.0586973466823789	-1.3321805592932847
Normal	ADPRH	0.30953692784454995	-1.0438985628221118
Normal	ADSL	0.009579962885057643	-0.20005363179341765
Normal	AFAP1	0.10424999415381958	-0.5660373870429556
Normal	AFAP1L1	0.03427782528389024	-0.6991016559029695
Normal	AFF4	-0.0003863188970134121	-0.006639369036056597
Normal	AFMID	0.02690059439794481	-0.7069678397464191
Normal	AFTPH	0.019615646121469474	-0.4972136307183719
Normal	AGK	0.15726584165515825	-1.3636761084986364
Normal	AGMAT	0.008359508491451294	-0.3498811004019221
Normal	AGPAT3	0.0357284747058592	-0.9537026198061451
Normal	AGR2	0.3385684113434093	-0.27894067356745605
Normal	AGXT	0.061915433658806	-0.6800620309276202
Normal	AHCYL1	0.004342580527803162	-0.018222805879740532
Normal	AHNAK2	1.0011409183463582	-2.4321318078421337
Normal	AHSA1	0.005297711569736245	0.10810014791438922
Normal	AHSG	0.18263913156578188	-0.17457652516102648
Normal	AIDA	0.10727467592208917	-1.1397453798869834
Normal	AIF1L	0.008376048851690897	-0.41604497748102154
Normal	AIFM1	0.017952545868286835	-0.42971702705832415
Normal	AK2	0.036352790762161656	-1.0499418416890922
Normal	AK3	0.03628560169680973	-0.47912053349114647
Normal	AK4	0.012571693118691255	-0.4889114288690383
Normal	AKAP13	0.01581734615352768	-0.492321702352122
Normal	AKAP7	0.09284042563002569	-0.39855032887953884
Normal	AKTIP	0.020861874191281916	-0.392890874976185
Normal	ALAD	0.024339542710997173	-0.9295143907955616
Normal	ALB	8.338136065738337e-05	-0.05293867945072674
Normal	ALDH18A1	-0.014977191916557737	0.1778395132465843
Normal	ALDH1A1	0.0026748167273559094	-0.9390688740412517
Normal	ALDH1A2	0.09772902137289759	-0.41724939533304356
Normal	ALDH1B1	0.01664454436218372	-0.2758564511161425
Normal	ALDH1L1	0.008335347100047436	-0.28632333403490146
Normal	ALDH2	0.028907662916278012	-0.6544268565242612
Normal	ALDH5A1	0.08393623189245852	-0.8189071294334888
Normal	ALDH6A1	0.006923657932311504	-0.3822928739004998
Normal	ALDH8A1	0.011184122774310936	-0.08419783223225148
Normal	ALDOB	0.00048140988724110125	-0.43280826977981457
Normal	ALDOC	0.05414602526448637	-1.2199502877527244
