Gene,delta_correlation,Cancer
A1BG,-0.3887449046218455,CCRCC
A1CF,0.14699324781497058,CCRCC
A2M,-0.2770345918378114,CCRCC
AAAS,-0.04429139002887228,CCRCC
AACS,-0.1282184276508772,CCRCC
AADAT,-0.17492468400979017,CCRCC
AAED1,0.07595938112459306,CCRCC
AAGAB,0.462501750785121,CCRCC
AAK1,0.30875024115850286,CCRCC
AAMP,0.3296188717785227,CCRCC
AAR2,0.24245160383702885,CCRCC
AARS,0.4130603125533154,CCRCC
AARS2,-0.09326769113260347,CCRCC
AARSD1,0.4665388971315223,CCRCC
AASDH,-0.5813860962913062,CCRCC
AASDHPPT,0.04740366187324785,CCRCC
AASS,-0.2403541146471322,CCRCC
AATF,0.03491199172293058,CCRCC
ABAT,-0.4073905514880643,CCRCC
ABCA1,0.19758103897892385,CCRCC
ABCA12,0.06504836471572739,CCRCC
ABCA2,0.040074820296163216,CCRCC
ABCA6,0.3935460456272876,CCRCC
ABCA8,-0.07497460614339785,CCRCC
ABCB1,0.13432505793166827,CCRCC
ABCB10,-0.25325162587975797,CCRCC
ABCB6,0.17419399851091544,CCRCC
ABCB7,-0.0833389178027319,CCRCC
ABCB8,-0.043562221133436,CCRCC
ABCC1,0.4550380959324443,CCRCC
ABCC10,0.090982430699089,CCRCC
ABCC2,0.0024963741721163446,CCRCC
ABCC3,0.22856231412122419,CCRCC
ABCC4,0.08066337912483179,CCRCC
ABCC6,-0.18806636467677396,CCRCC
ABCC9,-0.22218135483252127,CCRCC
ABCD1,0.05925423970928734,CCRCC
ABCD3,-0.1643180807343027,CCRCC
ABCE1,0.0754093237719402,CCRCC
ABCF1,0.163738441066577,CCRCC
ABCF2,0.3245927302046029,CCRCC
ABCF3,0.09637149257154248,CCRCC
ABCG2,0.16111561471833785,CCRCC
ABHD10,-0.16350787864087157,CCRCC
ABHD11,0.6296899767672683,CCRCC
ABHD12,0.10214706606823531,CCRCC
ABHD13,-0.1956406938810444,CCRCC
ABHD14B,0.1145713357178958,CCRCC
ABHD15,-0.27258550017534,CCRCC
ABHD16A,0.36909423950460163,CCRCC
ABHD17A,-0.19767641145401676,CCRCC
